"datetime","depth","variable","prediction","observation"
2023-11-27,0,"phyto",24.5368203309692,NA
2023-11-27,0.25,"phyto",24.5368203309692,NA
2023-11-27,0.5,"phyto",24.5368203309692,NA
2023-11-27,0.75,"phyto",24.5368203309692,NA
2023-11-27,1,"phyto",24.5368203309692,NA
2023-11-27,1.25,"phyto",24.5368203309692,NA
2023-11-27,1.5,"phyto",24.5368203309692,NA
2023-11-27,1.75,"phyto",24.5368203309692,NA
2023-11-27,2,"phyto",24.5368203309692,NA
2023-11-27,2.25,"phyto",24.5368203309692,NA
2023-11-27,2.5,"phyto",24.5368203309692,NA
2023-11-27,2.75,"phyto",24.5368203309692,NA
2023-11-27,3,"phyto",24.5368203309692,NA
2023-11-27,3.25,"phyto",24.5368203309692,NA
2023-11-27,3.5,"phyto",24.5368203309692,NA
2023-11-27,3.75,"phyto",24.5368203309692,NA
2023-11-27,4,"phyto",24.5368203309692,NA
2023-11-27,4.25,"phyto",24.5368203309692,NA
2023-11-27,4.5,"phyto",24.5368203309692,NA
2023-11-27,4.75,"phyto",24.5368203309692,NA
2023-11-27,5,"phyto",24.5368203309692,NA
2023-11-27,5.25,"phyto",24.5368203309692,NA
2023-11-27,5.5,"phyto",24.5368203309692,NA
2023-11-27,5.75,"phyto",24.5368203309692,NA
2023-11-27,6,"phyto",24.5368203309692,NA
2023-11-27,6.25,"phyto",24.5368203309692,NA
2023-11-27,6.5,"phyto",24.5368203309692,NA
2023-11-27,6.75,"phyto",24.5368203309692,NA
2023-11-27,7,"phyto",24.5368203309692,NA
2023-11-27,7.25,"phyto",24.5368203309692,NA
2023-11-27,7.5,"phyto",24.5368203309692,NA
2023-11-27,7.75,"phyto",24.5368203309692,NA
2023-11-27,8,"phyto",24.5368203309692,NA
2023-11-27,8.25,"phyto",24.5368203309692,NA
2023-11-27,8.5,"phyto",24.5368203309692,NA
2023-11-27,8.75,"phyto",24.5368203309692,NA
2023-11-27,9,"phyto",24.5368203309692,NA
2023-11-27,9.25,"phyto",24.5368203309692,NA
2023-11-28,0,"phyto",28.9356900918215,NA
2023-11-28,0.25,"phyto",29.7892289730663,NA
2023-11-28,0.5,"phyto",29.9264389524798,NA
2023-11-28,0.75,"phyto",29.4584278875879,NA
2023-11-28,1,"phyto",29.6066642331387,NA
2023-11-28,1.25,"phyto",24.5728637235575,NA
2023-11-28,1.5,"phyto",22.6260156381558,NA
2023-11-28,1.75,"phyto",21.637658335293,NA
2023-11-28,2,"phyto",21.5845699446809,NA
2023-11-28,2.25,"phyto",22.0148770361653,NA
2023-11-28,2.5,"phyto",22.2915432939281,NA
2023-11-28,2.75,"phyto",22.5102538178483,NA
2023-11-28,3,"phyto",22.7876595167148,NA
2023-11-28,3.25,"phyto",22.392102985637,NA
2023-11-28,3.5,"phyto",22.0920738868175,NA
2023-11-28,3.75,"phyto",21.7460689722775,NA
2023-11-28,4,"phyto",22.036328524358,NA
2023-11-28,4.25,"phyto",22.2123066188104,NA
2023-11-28,4.5,"phyto",22.3004991787664,NA
2023-11-28,4.75,"phyto",22.3414581454572,NA
2023-11-28,5,"phyto",22.3510402562816,NA
2023-11-28,5.25,"phyto",22.35307152068,NA
2023-11-28,5.5,"phyto",22.344729314943,NA
2023-11-28,5.75,"phyto",22.3344438384771,NA
2023-11-28,6,"phyto",22.3348704093068,NA
2023-11-28,6.25,"phyto",22.3537749445354,NA
2023-11-28,6.5,"phyto",22.3974237128743,NA
2023-11-28,6.75,"phyto",22.4561458254324,NA
2023-11-28,7,"phyto",22.5313972753533,NA
2023-11-28,7.25,"phyto",22.6230391263495,NA
2023-11-28,7.5,"phyto",22.7405500778628,NA
2023-11-28,7.75,"phyto",22.9148013120036,NA
2023-11-28,8,"phyto",23.1497041635439,NA
2023-11-28,8.25,"phyto",23.4076120410569,NA
2023-11-28,8.5,"phyto",23.8751542402769,NA
2023-11-28,8.75,"phyto",24.6950069857881,NA
2023-11-28,9,"phyto",25.1059783768695,NA
2023-11-28,9.25,"phyto",25.8894369046817,NA
2023-11-29,0,"phyto",33.0997939266112,NA
2023-11-29,0.25,"phyto",34.4369112330185,NA
2023-11-29,0.5,"phyto",34.9787585237099,NA
2023-11-29,0.75,"phyto",34.9206295616844,NA
2023-11-29,1,"phyto",32.3760423974009,NA
2023-11-29,1.25,"phyto",23.9996625384354,NA
2023-11-29,1.5,"phyto",21.0895733771798,NA
2023-11-29,1.75,"phyto",19.3864544207693,NA
2023-11-29,2,"phyto",18.8563020435461,NA
2023-11-29,2.25,"phyto",19.5654354327954,NA
2023-11-29,2.5,"phyto",20.0925038684065,NA
2023-11-29,2.75,"phyto",20.4962816320049,NA
2023-11-29,3,"phyto",20.8499317351687,NA
2023-11-29,3.25,"phyto",20.4387711672496,NA
2023-11-29,3.5,"phyto",20.0167460383857,NA
2023-11-29,3.75,"phyto",19.5891857529696,NA
2023-11-29,4,"phyto",19.8627448386039,NA
2023-11-29,4.25,"phyto",20.0796983651511,NA
2023-11-29,4.5,"phyto",20.2306851029999,NA
2023-11-29,4.75,"phyto",20.3253095959787,NA
2023-11-29,5,"phyto",20.3697872389546,NA
2023-11-29,5.25,"phyto",20.3890403448929,NA
2023-11-29,5.5,"phyto",20.3880921859408,NA
2023-11-29,5.75,"phyto",20.3825036773434,NA
2023-11-29,6,"phyto",20.3909881551183,NA
2023-11-29,6.25,"phyto",20.4262886815648,NA
2023-11-29,6.5,"phyto",20.497525807732,NA
2023-11-29,6.75,"phyto",20.5976965350953,NA
2023-11-29,7,"phyto",20.7310331846695,NA
2023-11-29,7.25,"phyto",20.895043998627,NA
2023-11-29,7.5,"phyto",21.1085257232047,NA
2023-11-29,7.75,"phyto",21.4022262045282,NA
2023-11-29,8,"phyto",21.7901959623298,NA
2023-11-29,8.25,"phyto",22.2501750400995,NA
2023-11-29,8.5,"phyto",22.9328709240807,NA
2023-11-29,8.75,"phyto",23.9405467177567,NA
2023-11-29,9,"phyto",24.7322191420792,NA
2023-11-29,9.25,"phyto",25.837210332686,NA
2023-11-30,0,"phyto",36.7139648231215,NA
2023-11-30,0.25,"phyto",38.3182032565381,NA
2023-11-30,0.5,"phyto",38.9209525689769,NA
2023-11-30,0.75,"phyto",37.8876090386224,NA
2023-11-30,1,"phyto",35.0007651253826,NA
2023-11-30,1.25,"phyto",23.7256795262083,NA
2023-11-30,1.5,"phyto",19.9181187659753,NA
2023-11-30,1.75,"phyto",17.5014434010271,NA
2023-11-30,2,"phyto",16.8152081262706,NA
2023-11-30,2.25,"phyto",17.5009141096867,NA
2023-11-30,2.5,"phyto",18.107703773263,NA
2023-11-30,2.75,"phyto",18.6464116152105,NA
2023-11-30,3,"phyto",19.0410506386193,NA
2023-11-30,3.25,"phyto",18.6230714129195,NA
2023-11-30,3.5,"phyto",18.1480755766261,NA
2023-11-30,3.75,"phyto",17.6116570525209,NA
2023-11-30,4,"phyto",17.9318537082249,NA
2023-11-30,4.25,"phyto",18.1897588878143,NA
2023-11-30,4.5,"phyto",18.3796404844215,NA
2023-11-30,4.75,"phyto",18.5112062795046,NA
2023-11-30,5,"phyto",18.5883682276304,NA
2023-11-30,5.25,"phyto",18.6324887012942,NA
2023-11-30,5.5,"phyto",18.6499841867218,NA
2023-11-30,5.75,"phyto",18.6590794511835,NA
2023-11-30,6,"phyto",18.6819176929434,NA
2023-11-30,6.25,"phyto",18.7354783384977,NA
2023-11-30,6.5,"phyto",18.8338152247842,NA
2023-11-30,6.75,"phyto",18.9778663232972,NA
2023-11-30,7,"phyto",19.1783366099864,NA
2023-11-30,7.25,"phyto",19.3534522606345,NA
2023-11-30,7.5,"phyto",19.6022469244782,NA
2023-11-30,7.75,"phyto",19.9478115033387,NA
2023-11-30,8,"phyto",20.442740544496,NA
2023-11-30,8.25,"phyto",21.0440931131115,NA
2023-11-30,8.5,"phyto",21.8473969522927,NA
2023-11-30,8.75,"phyto",22.9331940631212,NA
2023-11-30,9,"phyto",23.895719755753,NA
2023-11-30,9.25,"phyto",25.1321649556182,NA
2023-12-01,0,"phyto",39.4670412350873,NA
2023-12-01,0.25,"phyto",41.1927304010425,NA
2023-12-01,0.5,"phyto",41.6340013426247,NA
2023-12-01,0.75,"phyto",38.0473832409974,NA
2023-12-01,1,"phyto",34.497447051189,NA
2023-12-01,1.25,"phyto",24.9026198172256,NA
2023-12-01,1.5,"phyto",19.9640433399854,NA
2023-12-01,1.75,"phyto",16.5734214211256,NA
2023-12-01,2,"phyto",15.9395050591111,NA
2023-12-01,2.25,"phyto",16.1219799935424,NA
2023-12-01,2.5,"phyto",16.4784443691548,NA
2023-12-01,2.75,"phyto",16.8997551420082,NA
2023-12-01,3,"phyto",17.3206683071453,NA
2023-12-01,3.25,"phyto",16.9688261063187,NA
2023-12-01,3.5,"phyto",16.5136733559762,NA
2023-12-01,3.75,"phyto",16.0281508903004,NA
2023-12-01,4,"phyto",16.2811796584504,NA
2023-12-01,4.25,"phyto",16.5168818268304,NA
2023-12-01,4.5,"phyto",16.7145595731945,NA
2023-12-01,4.75,"phyto",16.867636557072,NA
2023-12-01,5,"phyto",16.9704472904053,NA
2023-12-01,5.25,"phyto",17.038338013916,NA
2023-12-01,5.5,"phyto",17.0770277517902,NA
2023-12-01,5.75,"phyto",17.1050270588276,NA
2023-12-01,6,"phyto",17.1455304617627,NA
2023-12-01,6.25,"phyto",17.2169217256732,NA
2023-12-01,6.5,"phyto",17.332870873019,NA
2023-12-01,6.75,"phyto",17.491109959971,NA
2023-12-01,7,"phyto",17.6944553936898,NA
2023-12-01,7.25,"phyto",17.9462051324507,NA
2023-12-01,7.5,"phyto",18.2625132644349,NA
2023-12-01,7.75,"phyto",18.6783062414094,NA
2023-12-01,8,"phyto",19.2104296498043,NA
2023-12-01,8.25,"phyto",19.8478805535057,NA
2023-12-01,8.5,"phyto",20.6874917367868,NA
2023-12-01,8.75,"phyto",21.7871539559168,NA
2023-12-01,9,"phyto",22.8199037015656,NA
2023-12-01,9.25,"phyto",24.0967175800257,NA
2023-12-02,0,"phyto",40.2103446596683,NA
2023-12-02,0.25,"phyto",41.7080462013358,NA
2023-12-02,0.5,"phyto",41.0578342548137,NA
2023-12-02,0.75,"phyto",36.1783884450633,NA
2023-12-02,1,"phyto",34.1756371137561,NA
2023-12-02,1.25,"phyto",24.565375538014,NA
2023-12-02,1.5,"phyto",18.2848875616874,NA
2023-12-02,1.75,"phyto",16.5234983548296,NA
2023-12-02,2,"phyto",15.7125454430888,NA
2023-12-02,2.25,"phyto",15.3379707513289,NA
2023-12-02,2.5,"phyto",15.3149636792083,NA
2023-12-02,2.75,"phyto",15.5037588036298,NA
2023-12-02,3,"phyto",15.7905438257577,NA
2023-12-02,3.25,"phyto",15.4556560152301,NA
2023-12-02,3.5,"phyto",15.0449602202577,NA
2023-12-02,3.75,"phyto",14.6128507261289,NA
2023-12-02,4,"phyto",14.8255095730614,NA
2023-12-02,4.25,"phyto",15.0337104854863,NA
2023-12-02,4.5,"phyto",15.2201242984599,NA
2023-12-02,4.75,"phyto",15.3760572205251,NA
2023-12-02,5,"phyto",15.4918638827371,NA
2023-12-02,5.25,"phyto",15.5772602238354,NA
2023-12-02,5.5,"phyto",15.6352495517471,NA
2023-12-02,5.75,"phyto",15.6822210363401,NA
