time,Volume,Vol Snow,Vol Blue Ice,Vol White Ice,Tot Inflow Vol,Tot Outflow Vol,Overflow Vol,Evaporation,Rain,Local Runoff,Snowfall,Lake Level,Surface Area,Blue Ice Thickness,Snow Thickness,Snow Density,White Ice Thickness,Albedo,Max Temp,Min Temp,Surface Temp,Daily Qsw,Daily Qe,Daily Qh,Daily Qlw,Light,Benthic Light,Surface Wave Height,Surface Wave Length,Surface Wave Period,LakeNumber,Max dT/dz,CD,CHE,z/L
2018-04-20 24:00:00,321756.540028,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000, -249.683426,    0.000000,    0.000000,    0.000000,    9.297917,119835.733196,    0.000000,    0.000000,    0.000000,    0.000000,    0.073000,   14.311600,    7.018340,   14.311600,  157.078911,  -59.376389,   -5.187360,  -74.497837,    0.000000,    0.000000,    0.033303,    0.767229,    0.701000,    3.887778,    0.085115,    0.001689,    0.001721,    0.000000
2018-04-21 24:00:00,321502.151415,    0.000000,    0.000000,    0.000000, 1909.440426, 1909.440000,    0.000000, -253.088379,    0.000000,    0.000000,    0.000000,    9.295805,119789.916138,    0.000000,    0.000000,    0.000000,    0.000000,    0.073000,   15.734226,    7.103311,   15.734226,  267.710030,  -60.213471,   -9.406154, -140.579627,    0.000000,    0.000000,    0.016656,    0.403314,    0.508250,   10.624605,    0.085115,    0.001689,    0.001721,    0.000000
2018-04-22 24:00:00,321304.104071,    0.000000,    0.000000,    0.000000, 1797.120426, 1797.120000,    0.000000, -196.967841,    0.000000,    0.000000,    0.000000,    9.294160,119754.246512,    0.000000,    0.000000,    0.000000,    0.000000,    0.073000,   15.180317,    7.155221,   15.180317,  158.222080,  -46.874368,    2.882471, -103.134223,    0.000000,    0.000000,    0.017319,    0.418489,    0.517723,   11.781138,    0.056996,    0.001689,    0.001721,    0.000000
2018-04-23 24:00:00,321636.610603,    0.000000,    0.000000,    0.000000, 1745.280426, 1745.280000,    0.000000, -156.051207,  486.738282,    0.000000,    0.000000,    9.296921,119814.133119,    0.000000,    0.000000,    0.000000,    0.000000,    0.073000,   14.349529,    7.167500,   14.349529,   80.988238,  -37.141572,   -3.708291,  -72.586143,    0.000000,    0.000000,    0.034745,    0.797341,    0.714624,    3.638218,    0.085115,    0.001689,    0.001721,    0.000000
2018-04-24 24:00:00,322007.409316,    0.000000,    0.000000,    0.000000, 4121.280426, 4121.280000, 3950.060974,  -67.237535, 4273.160197,    0.000000,    0.000000,    9.300000,119880.916400,    0.000000,    0.000000,    0.000000,    0.000000,    0.073000,   13.588442,    7.177656,   13.588442,   37.874822,  -16.008920,   -6.593986,  -54.268575,    0.000000,    0.000000,    0.009844,    0.243242,    0.394707,   28.421289,    0.075924,    0.001689,    0.001721,    0.000000
2018-04-25 24:00:00,322007.409316,    0.000000,    0.000000,    0.000000, 7456.320426, 7456.320000, 1530.027953, -101.435758, 1584.967248,    0.000000,    0.000000,    9.300000,119880.916400,    0.000000,    0.000000,    0.000000,    0.000000,    0.073000,   14.034779,    7.184783,   14.034779,  128.428053,  -24.149086,    2.161383,  -62.243060,    0.000000,    0.000000,    0.021649,    0.516157,    0.574972,    8.107940,    0.054280,    0.001689,    0.001721,    0.000000
2018-04-26 24:00:00,322007.409316,    0.000000,    0.000000,    0.000000, 7231.680426, 7231.680000,  534.381270, -182.639107,  700.421411,    0.000000,    0.000000,    9.300000,119880.916400,    0.000000,    0.000000,    0.000000,    0.000000,    0.073000,   16.361192,    7.193409,   16.361192,  228.641085,  -43.446027,    2.366461,  -91.150904,    0.000000,    0.000000,    0.008474,    0.210140,    0.366868,   31.096839,    0.079412,    0.001689,    0.001721,    0.000000
2018-04-27 24:00:00,321964.486319,    0.000000,    0.000000,    0.000000, 6946.560426, 6946.560000,    0.000000, -134.092552,   91.361937,    0.000000,    0.000000,    9.299644,119873.185687,    0.000000,    0.000000,    0.000000,    0.000000,    0.073000,   16.531410,    7.204583,   16.531410,  171.021142,  -31.823656,   -5.512692,  -83.118805,    0.000000,    0.000000,    0.029728,    0.691776,    0.665638,    4.384652,    0.098209,    0.001689,    0.001721,    0.000000
2018-04-28 24:00:00,321567.215204,    0.000000,    0.000000,    0.000000, 6635.520426, 6635.520000,    0.000000, -395.324016,    0.000000,    0.000000,    0.000000,    9.296345,119801.634553,    0.000000,    0.000000,    0.000000,    0.000000,    0.073000,   16.080203,    7.212382,   16.080203,  249.742997,  -93.847948,    3.279550, -117.948884,    0.000000,    0.000000,    0.052284,    1.150720,    0.858500,    2.109879,    0.091612,    0.001689,    0.001721,    0.000000
2018-04-29 24:00:00,321002.821946,    0.000000,    0.000000,    0.000000, 6143.040426, 6143.040000,    0.000000, -561.222869,    0.000000,    0.000000,    0.000000,    9.291658,119699.983625,    0.000000,    0.000000,    0.000000,    0.000000,    0.073000,   14.940509,    7.221028,   14.940509,  282.543537, -133.628704,  -28.851076, -151.190700,    0.000000,    0.000000,    0.015599,    0.378939,    0.492652,   15.706349,    0.054280,    0.001689,    0.001721,    0.000000
2018-04-30 24:00:00,320561.053171,    0.000000,    0.000000,    0.000000, 5503.680426, 5503.680000,    0.000000, -438.953218,    0.000000,    0.000000,    0.000000,    9.287990,119620.418170,    0.000000,    0.000000,    0.000000,    0.000000,    0.073000,   15.321959,    7.227673,   15.321959,  281.040884, -104.594551,   -3.249412, -138.779643,    0.000000,    0.000000,    0.044285,    0.992134,    0.797151,    2.573205,    0.052173,    0.001689,    0.001721,    0.000000
2018-05-01 24:00:00,320231.410850,    0.000000,    0.000000,    0.000000, 4872.960426, 4872.960000,    0.000000, -327.350227,    0.000000,    0.000000,    0.000000,    9.285253,119561.047426,    0.000000,    0.000000,    0.000000,    0.000000,    0.073000,   17.342446,    7.237316,   17.342446,  277.593866,  -77.946321,    3.925646, -124.155675,    0.000000,    0.000000,    0.031422,    0.727603,    0.682657,    3.890284,    0.054280,    0.001689,    0.001721,    0.000000
2018-05-02 24:00:00,319941.689699,    0.000000,    0.000000,    0.000000, 4320.000426, 4320.000000,    0.000000, -287.572191,    0.000000,    0.000000,    0.000000,    9.282847,119508.866746,    0.000000,    0.000000,    0.000000,    0.000000,    0.068000,   18.632162,    7.247507,   18.632162,  267.852610,  -68.413593,   19.365066, -103.170852,    0.000000,    0.000000,    0.023272,    0.551973,    0.594586,    8.331466,    0.095881,    0.001689,    0.001721,    0.000000
2018-05-03 24:00:00,319709.804836,    0.000000,    0.000000,    0.000000, 3957.120426, 3957.120000,    0.000000, -230.074309,    0.000000,    0.000000,    0.000000,    9.280922,119467.102761,    0.000000,    0.000000,    0.000000,    0.000000,    0.068000,   20.150652,    7.258247,   20.150652,  253.247960,  -54.633159,   19.698458,  -90.503707,    0.000000,    0.000000,    0.017577,    0.424350,    0.521336,   16.643390,    0.057862,    0.001689,    0.001721,    0.000000
2018-05-04 24:00:00,319439.208167,    0.000000,    0.000000,    0.000000, 3585.600426, 3585.600000,    0.000000, -268.382115,    0.000000,    0.000000,    0.000000,    9.278675,119418.366526,    0.000000,    0.000000,    0.000000,    0.000000,    0.068000,   21.881761,    7.267582,   21.881761,  256.774274,  -63.608306,   12.663342,  -87.994792,    0.000000,    0.000000,    0.027445,    0.642788,    0.641637,    9.086970,    0.057862,    0.001689,    0.001721,    0.000000
