column_number,column_names,column_type
1,Date,date
2,DOY,feature
3,AirTemp_C_mean,feature
4,PAR_umolm2s_mean,feature
5,WindSpeed_ms_mean,feature
6,Flow_cms_mean,feature
7,Temp_C_mean,feature
8,SRP_ugL,feature
9,DIN_ugL,feature
10,LightAttenuation_Kd,feature
11,Chla_ugL_mean,target
12,Flag_DOY,flag
13,Flag_AirTemp_C_mean,flag
14,Flag_PAR_umolm2s_mean,flag
15,Flag_WindSpeed_ms_mean,flag
16,Flag_Flow_cms_mean,flag
17,Flag_Temp_C_mean,flag
18,Flag_SRP_ugL,flag
19,Flag_DIN_ugL,flag
20,Flag_LightAttenuation_Kd,flag
21,Flag_Chla_ugL_mean,flag
