"datetime","depth","variable","observation"
2018-08-06,NA,"inflow_rate",0.0667
2018-08-06,NA,"n_load",0.2255127
2018-08-06,NA,"p_load",0.01615474
2018-08-07,NA,"inflow_rate",0.0664
2018-08-07,NA,"n_load",0.22478392
2018-08-07,NA,"p_load",0.01558408
2018-08-08,NA,"inflow_rate",0.0658
2018-08-08,NA,"n_load",0.22303568
2018-08-08,NA,"p_load",0.01494318
2018-08-09,NA,"inflow_rate",0.065
2018-08-09,NA,"n_load",0.2206035
2018-08-09,NA,"p_load",0.014274
2018-08-10,NA,"inflow_rate",0.0642
2018-08-10,NA,"n_load",0.21816444
2018-08-10,NA,"p_load",0.01361682
2018-08-11,NA,"inflow_rate",0.0648
2018-08-11,NA,"n_load",0.22048848
2018-08-11,NA,"p_load",0.01325808
2018-08-12,NA,"inflow_rate",0.0653
2018-08-12,NA,"n_load",0.22247057
2018-08-12,NA,"p_load",0.01287063
2018-08-13,NA,"inflow_rate",0.0644
2018-08-13,NA,"n_load",0.21968128
2018-08-13,NA,"p_load",0.0122038
2018-08-14,NA,"inflow_rate",0.0636
2018-08-14,NA,"n_load",0.212583
2018-08-14,NA,"p_load",0.0123384
2018-08-15,NA,"inflow_rate",0.0631
2018-08-15,NA,"n_load",0.20657678
2018-08-15,NA,"p_load",0.01253166
2018-08-16,NA,"inflow_rate",0.0629
2018-08-16,NA,"n_load",0.20160079
2018-08-16,NA,"p_load",0.01277499
2018-08-17,NA,"inflow_rate",0.0628
2018-08-17,NA,"n_load",0.19696592
2018-08-17,NA,"p_load",0.01303728
2018-08-18,NA,"inflow_rate",0.0716
2018-08-18,NA,"n_load",0.21964732
2018-08-18,NA,"p_load",0.01518636
2018-08-19,NA,"inflow_rate",0.0663
2018-08-19,NA,"n_load",0.1988337
2018-08-19,NA,"p_load",0.01436058
2018-08-20,NA,"inflow_rate",0.0641
2018-08-20,NA,"n_load",0.18783223
2018-08-20,NA,"p_load",0.01417251
2018-08-21,NA,"inflow_rate",0.0737
2018-08-21,NA,"n_load",0.21927961
2018-08-21,NA,"p_load",0.01629507
2018-08-22,NA,"inflow_rate",0.0684
2018-08-22,NA,"n_load",0.20658168
2018-08-22,NA,"p_load",0.01512324
2018-08-23,NA,"inflow_rate",0.0636
2018-08-23,NA,"n_load",0.19494672
2018-08-23,NA,"p_load",0.01406196
2018-08-24,NA,"inflow_rate",0.0626
2018-08-24,NA,"n_load",0.19469226
2018-08-24,NA,"p_load",0.01384086
2018-08-25,NA,"inflow_rate",0.0629
2018-08-25,NA,"n_load",0.19845579
2018-08-25,NA,"p_load",0.01390719
2018-08-26,NA,"inflow_rate",0.0632
2018-08-26,NA,"n_load",0.20223368
2018-08-26,NA,"p_load",0.01397352
2018-08-27,NA,"inflow_rate",0.0642
2018-08-27,NA,"n_load",0.20832258
2018-08-27,NA,"p_load",0.01419462
2018-08-28,NA,"inflow_rate",0.0639
2018-08-28,NA,"n_load",0.20842263
2018-08-28,NA,"p_load",0.01431999
2018-08-29,NA,"inflow_rate",0.0633
2018-08-29,NA,"n_load",0.20753538
2018-08-29,NA,"p_load",0.01437543
2018-08-30,NA,"inflow_rate",0.0676
2018-08-30,NA,"n_load",0.22276904
2018-08-30,NA,"p_load",0.01555476
2018-08-31,NA,"inflow_rate",0.0637
2018-08-31,NA,"n_load",0.21099351
2018-08-31,NA,"p_load",0.01485484
2018-09-01,NA,"inflow_rate",0.0632
2018-09-01,NA,"n_load",0.21039912
2018-09-01,NA,"p_load",0.01492784
2018-09-02,NA,"inflow_rate",0.063
2018-09-02,NA,"n_load",0.210798
2018-09-02,NA,"p_load",0.0150696
2018-09-03,NA,"inflow_rate",0.0629
2018-09-03,NA,"n_load",0.21152641
2018-09-03,NA,"p_load",0.01523438
2018-09-04,NA,"inflow_rate",0.0623
2018-09-04,NA,"n_load",0.1902019
2018-09-04,NA,"p_load",0.01471526
2018-09-05,NA,"inflow_rate",0.0615
2018-09-05,NA,"n_load",0.16871295
2018-09-05,NA,"p_load",0.01415115
2018-09-06,NA,"inflow_rate",0.0613
2018-09-06,NA,"n_load",0.14917355
2018-09-06,NA,"p_load",0.01373733
2018-09-07,NA,"inflow_rate",0.0609
2018-09-07,NA,"n_load",0.12933942
2018-09-07,NA,"p_load",0.01328229
2018-09-08,NA,"inflow_rate",0.0708
2018-09-08,NA,"n_load",0.1284312
2018-09-08,NA,"p_load",0.01501668
2018-09-09,NA,"inflow_rate",0.0938
2018-09-09,NA,"n_load",0.14109396
2018-09-09,NA,"p_load",0.01933218
2018-09-10,NA,"inflow_rate",0.0796
2018-09-10,NA,"n_load",0.0950822
2018-09-10,NA,"p_load",0.01592796
2018-09-11,NA,"inflow_rate",0.0676
2018-09-11,NA,"n_load",0.07728032
2018-09-11,NA,"p_load",0.013013
2018-09-12,NA,"inflow_rate",0.071
2018-09-12,NA,"n_load",0.077532
2018-09-12,NA,"p_load",0.013135
2018-09-13,NA,"inflow_rate",0.0666
2018-09-13,NA,"n_load",0.06931062
2018-09-13,NA,"p_load",0.0118215
2018-09-14,NA,"inflow_rate",0.065
2018-09-14,NA,"n_load",0.064311
2018-09-14,NA,"p_load",0.01105
2018-09-15,NA,"inflow_rate",0.065
2018-09-15,NA,"n_load",0.0609765
2018-09-15,NA,"p_load",0.0105625
2018-09-16,NA,"inflow_rate",0.0794
