"Date","AirTemp_C","Shortwave_Wm2","Windspeed_ms","Inflow_cms","WaterTemp_C","SRP_ugL","DIN_ugL","LightAttenuation_Kd","Chla_ugL","Flag_AirTemp_C","Flag_Shortwave_Wm2","Flag_Windspeed_ms","Flag_Inflow_cms","Flag_WaterTemp_C","Flag_SRP_ugL","Flag_DIN_ugL","Flag_LightAttenuation_Kd","Flag_Chla_ugL"
2018-08-06,24.693644,2.003,1.9525,0.0365198507196117,26.884,2.06578808541872,7.64103635502033,1.09181983702244,4.01,0,1,0,0,0,1,1,1,0
2018-08-07,25.575,2.003,2.055,0.0361682657048541,27.101,2.08186011870272,8.85187378094133,1.07350009647749,4.04,0,1,0,0,0,1,1,1,0
2018-08-08,26.35,2.003,1.9395,0.0361682657048541,26.8645,2.12528770565206,9.89050957254832,1.05867705237594,6.26,0,1,0,0,0,1,1,1,0
2018-08-09,23.675,2.003,2.5125,0.0358187194238441,27.162,2.18174481239941,10.4408194394282,1.04622630086819,8.635,0,1,0,0,0,1,1,1,0
2018-08-10,25.53,2.003,1.677,0.0351257272314655,27.0855,2.25379547168386,10.8463578232164,1.03757876909376,10.925,0,1,0,0,0,1,1,1,0
2018-08-11,22.56,2.003,1.421,0.0354712079206088,27.3405,2.3379816807857,11.1890624137675,1.02741599275487,13.085,0,1,0,0,0,1,1,1,0
2018-08-12,21.47,2.003,1.309,0.0358187194238441,26.9,2.43137347919216,11.3904030693061,1.01498327331861,15.545,0,1,0,0,0,1,1,1,0
2018-08-13,20.79,2.003,1.741,0.0354712079206081,26.4435,2.52676609161201,11.0396350358121,1.00855602419094,13.305,0,1,0,0,0,1,1,1,0
2018-08-14,21.93,2.003,1.792,0.0351257272314655,26.009,2.63323611272068,10.9120999667596,1.00384837820038,9.66,0,1,0,0,0,1,1,1,0
2018-08-15,22.455,2.003,2.0555,0.0347822733849842,26.0335,2.71860080594994,10.8285712955284,0.998875459393401,8.155,0,1,0,0,0,1,1,1,0
2018-08-16,25.609044,2.003,1.151,0.0344408424019343,26.021,2.80574988998446,10.3408392866787,0.995496483394434,6.96,0,1,0,0,0,1,1,1,0
2018-08-17,26.888116,2.003,1.212,0.0344408424019343,26.606,2.91815441182417,10.1304791299395,0.993657495452737,6.095,0,1,0,0,0,1,1,1,0
2018-08-18,23.825,2.003,1.446,0.0347822733849842,26.594,3.01645042127443,9.76877614927951,0.977104104592978,6.57,0,1,0,0,0,1,1,1,0
2018-08-19,23.79,2.003,1.2325,0.0361682657048541,26.0065,3.10999543026779,9.13429223858545,0.975585524169553,7.855,0,1,0,0,0,1,1,1,0
2018-08-20,22.32,2.003,0.976,0.0354712079206081,25.92,3.21091769837096,9.02401356813649,0.96702490112651,8.08,0,1,0,0,0,1,1,1,0
