"column_number","column_names","column_type"
1,"Date","date"
2,"DOY","feature"
3,"AirTemp_C","feature"
4,"Shortwave_Wm2","feature"
5,"Windspeed_ms","feature"
6,"Inflow_cms","feature"
7,"WaterTemp_C","feature"
8,"SRP_ugL","feature"
9,"DIN_ugL","feature"
10,"LightAttenuation_Kd","feature"
11,"Chla_ugL","target"
12,"Flag_DOY","flag"
13,"Flag_AirTemp_C","flag"
14,"Flag_Shortwave_Wm2","flag"
15,"Flag_Windspeed_ms","flag"
16,"Flag_Inflow_cms","flag"
17,"Flag_WaterTemp_C","flag"
18,"Flag_SRP_ugL","flag"
19,"Flag_DIN_ugL","flag"
20,"Flag_LightAttenuation_Kd","flag"
21,"Flag_Chla_ugL","flag"
