Reservoir,Depth_m,SA_m2,Volume_layer_L,Volume_below_L
BVR,0,393970,233832768,1357140624
BVR,1,349067,214775093,1123307856
BVR,2,319277,191702405,908532763
BVR,3,278564,165889790,716830358
BVR,4,239750,140295812,550940568
BVR,5,197070,112020065,410644756
BVR,6,153026,89282561,298624691
BVR,7,125103,72236359,209342130
BVR,8,99851,55313443,137105771
BVR,9,72679,40397309,81792328
BVR,10,53017,25117644,41395019
BVR,11,25269,11288404,16277375
BVR,12,11282,4229181,4988971
BVR,13,3634,759790,759790
BVR,14,0,0,0
FCR,0,121371,35232295,308836371
FCR,0.4,108827,32664284,273604076
FCR,0.7,104251,30190272,240939792
FCR,1,92333,27508010,210749520
FCR,1.3,86369,24666614,183241510
FCR,1.6,73391,22032551,158574896
FCR,1.9,68809,19478743,136542345
FCR,2.3,60622,16893055,117063602
FCR,2.6,51571,14330336,100170547
FCR,2.9,43537,12057962,85840211
FCR,3.2,36422,10275613,73782249
FCR,3.5,31654,9082883,63506636
FCR,3.8,28470,8265212,54423753
FCR,4.1,26203,7372169,46158541
FCR,4.4,22516,6433444,38786372
FCR,4.7,19945,5557300,32352928
FCR,5,16676,4772921,26795628
FCR,5.3,14716,4097097,22022707
FCR,5.6,12170,3537345,17925610
FCR,5.9,10984,3090765,14388265
FCR,6.2,9193,2697184,11297500
FCR,6.5,8360,2310058,8600316
FCR,6.8,6612,1915213,6290258
FCR,7.1,5728,1523427,4375045
FCR,7.4,4000,1157934,2851618
FCR,7.7,3291,825901,1693684
FCR,8,1787,515240,867783
FCR,8.3,1220,258445,352543
FCR,8.7,503,84740,94098
FCR,9,62,9358,9358
FCR,9.3,0,0,0
CCR,0,2475798.959,1458445390,23011636613
CCR,0.6,2386760.228,1175875084,21553191223
CCR,1.1,2317486.326,1136352121,20377316139
CCR,1.6,2193459.486,1083278023,19240964018
CCR,2.1,2140008.947,1057087262,18157685995
CCR,2.6,2088696.441,1028629510,17100598733
CCR,3.1,2005412.73,988974701,16071969223
CCR,3.6,1950833.11,962205448,15082994522
CCR,4.1,1898335.718,936477308,14120789074
CCR,4.6,1813972.379,892593091,13184311766
CCR,5.1,1756631.38,864269687,12291718675
CCR,5.6,1700678.766,836640476,11427448988
CCR,6.1,1605104.884,787743851,10590808512
CCR,6.6,1546227.188,758840006,9803064661
CCR,7.1,1489489.502,731006164,9044224655
CCR,7.6,1397119.004,684004361,8313218491
CCR,8.1,1339068.147,655233493,7629214130
CCR,8.6,1282035.532,626971747,6973980637
CCR,9.1,1196144.165,584247754,6347008890
CCR,9.6,1141185.688,557276770,5762761136
CCR,10.1,1088260.23,531322297,5205484366
CCR,10.6,1037367.79,484545240,4674162069
CCR,11.1,932422.2323,453563508,4189616829
CCR,11.6,882252.2505,429109193,3736053321
CCR,12.1,834604.9706,376621940,3306944128
CCR,12.6,710646.2363,341631366,2930322188
CCR,13.1,656924.3571,316338119,2588690822
CCR,13.6,609473.2497,281407124,2272352703
CCR,14.1,536283.3268,258841446,1990945579
CCR,14.6,499834.3843,241744865,1732104133
CCR,15.1,467897.0035,221325968,1490359268
CCR,15.6,424212.785,204606427,1269033300
CCR,16.1,394811.7282,190804107,1064426873
CCR,16.6,369003.5078,169409360,873622766
CCR,17.1,321263.0279,154173497,704213406
CCR,17.6,295618.9069,141633356,550039909
CCR,18.1,271102.4653,121178989,408406553
CCR,18.6,215326.8664,98958722,287227564
CCR,19.1,181127.9386,82789135,188268842
CCR,19.6,150648.5232,47028371,105479707
CCR,20.1,56751.05886,25707562,58451336
CCR,20.6,46207.31456,20627878,32743774
CCR,21.1,36432.32625,8784478,12115896
CCR,21.6,5375.760508,2066542,3331418
CCR,22.1,3004.346932,1051744,1264876
CCR,22.6,1316.568724,213122,213132
CCR,22.8,832.875343,10,10
