"model_id","reference_datetime","datetime","variable","prediction"
"GLM-AED",2022-01-01 12:00:00,2022-01-01,"chlorophyll-a",9.10111886013986
"GLM-AED",2022-01-01 12:00:00,2022-01-02,"chlorophyll-a",15.5218968896336
"GLM-AED",2022-01-01 12:00:00,2022-01-03,"chlorophyll-a",14.7419224441088
"GLM-AED",2022-01-01 12:00:00,2022-01-04,"chlorophyll-a",14.5644269796825
"GLM-AED",2022-01-01 12:00:00,2022-01-05,"chlorophyll-a",14.6696695372594
"GLM-AED",2022-01-01 12:00:00,2022-01-06,"chlorophyll-a",14.7360439516608
"GLM-AED",2022-01-01 12:00:00,2022-01-07,"chlorophyll-a",14.8429277125738
"GLM-AED",2022-01-01 12:00:00,2022-01-08,"chlorophyll-a",15.0440915357025
"GLM-AED",2022-01-01 12:00:00,2022-01-09,"chlorophyll-a",15.2370556001913
"GLM-AED",2022-01-01 12:00:00,2022-01-10,"chlorophyll-a",15.10085815064
"GLM-AED",2022-01-01 12:00:00,2022-01-11,"chlorophyll-a",15.3587151772214
"GLM-AED",2022-01-01 12:00:00,2022-01-12,"chlorophyll-a",16.0435862516118
"GLM-AED",2022-01-01 12:00:00,2022-01-13,"chlorophyll-a",15.7236905448272
"GLM-AED",2022-01-01 12:00:00,2022-01-14,"chlorophyll-a",15.814267756251
"GLM-AED",2022-01-01 12:00:00,2022-01-15,"chlorophyll-a",16.0437110302934
"GLM-AED",2022-01-01 12:00:00,2022-01-16,"chlorophyll-a",16.5805795261036
"GLM-AED",2022-01-01 12:00:00,2022-01-17,"chlorophyll-a",16.2882285844522
"GLM-AED",2022-01-01 12:00:00,2022-01-18,"chlorophyll-a",15.6644800973403
"GLM-AED",2022-01-01 12:00:00,2022-01-19,"chlorophyll-a",16.115793421961
"GLM-AED",2022-01-01 12:00:00,2022-01-20,"chlorophyll-a",16.6478010606113
"GLM-AED",2022-01-01 12:00:00,2022-01-21,"chlorophyll-a",15.4562350728129
"GLM-AED",2022-01-01 12:00:00,2022-01-22,"chlorophyll-a",16.2045024286655
"GLM-AED",2022-01-01 12:00:00,2022-01-23,"chlorophyll-a",16.2999264312554
"GLM-AED",2022-01-01 12:00:00,2022-01-24,"chlorophyll-a",15.8633688500084
"GLM-AED",2022-01-01 12:00:00,2022-01-25,"chlorophyll-a",16.1184835170748
"GLM-AED",2022-01-01 12:00:00,2022-01-26,"chlorophyll-a",15.6726245625421
"GLM-AED",2022-01-01 12:00:00,2022-01-27,"chlorophyll-a",16.0347733562365
"GLM-AED",2022-01-01 12:00:00,2022-01-28,"chlorophyll-a",16.0616722967171
"GLM-AED",2022-01-01 12:00:00,2022-01-29,"chlorophyll-a",15.3211883206568
"GLM-AED",2022-01-01 12:00:00,2022-01-30,"chlorophyll-a",15.7042871604662
"GLM-AED",2022-01-01 12:00:00,2022-01-31,"chlorophyll-a",15.6392580432795
"GLM-AED",2022-01-01 12:00:00,2022-02-01,"chlorophyll-a",15.3818387579151
"GLM-AED",2022-01-01 12:00:00,2022-02-02,"chlorophyll-a",15.2077959774123
"GLM-AED",2022-01-01 12:00:00,2022-02-03,"chlorophyll-a",14.7595953331548
"GLM-AED",2022-01-01 12:00:00,2022-02-04,"chlorophyll-a",14.2392338147919
"GLM-AED",2022-01-01 12:00:00,2022-02-05,"chlorophyll-a",13.7986240589464
"GLM-AED",2022-01-02 12:00:00,2022-01-02,"chlorophyll-a",11.1702083263889
"GLM-AED",2022-01-02 12:00:00,2022-01-03,"chlorophyll-a",10.9643595101494
"GLM-AED",2022-01-02 12:00:00,2022-01-04,"chlorophyll-a",10.1478506870514
"GLM-AED",2022-01-02 12:00:00,2022-01-05,"chlorophyll-a",9.57749049357468
"GLM-AED",2022-01-02 12:00:00,2022-01-06,"chlorophyll-a",8.75013662100433
"GLM-AED",2022-01-02 12:00:00,2022-01-07,"chlorophyll-a",8.1376343815916
"GLM-AED",2022-01-02 12:00:00,2022-01-08,"chlorophyll-a",7.63843653469394
