"model_id","reference_datetime","datetime","variable","prediction"
"GLM-AED",2022-01-01,2022-01-01,"chlorophyll-a",9.10111886013986
"GLM-AED",2022-01-01,2022-01-02,"chlorophyll-a",7.72330616972947
"GLM-AED",2022-01-01,2022-01-03,"chlorophyll-a",7.5853826762765
"GLM-AED",2022-01-01,2022-01-04,"chlorophyll-a",7.49499289218839
"GLM-AED",2022-01-01,2022-01-05,"chlorophyll-a",7.4764184908672
"GLM-AED",2022-01-01,2022-01-06,"chlorophyll-a",7.39463180398168
"GLM-AED",2022-01-01,2022-01-07,"chlorophyll-a",7.32382821022363
"GLM-AED",2022-01-01,2022-01-08,"chlorophyll-a",7.32026597938083
"GLM-AED",2022-01-01,2022-01-09,"chlorophyll-a",7.30237706844148
"GLM-AED",2022-01-01,2022-01-10,"chlorophyll-a",7.12881091700173
"GLM-AED",2022-01-01,2022-01-11,"chlorophyll-a",7.13550345468288
"GLM-AED",2022-01-01,2022-01-12,"chlorophyll-a",7.33779498480084
"GLM-AED",2022-01-01,2022-01-13,"chlorophyll-a",7.16746070865517
"GLM-AED",2022-01-01,2022-01-14,"chlorophyll-a",7.13762251352451
"GLM-AED",2022-01-01,2022-01-15,"chlorophyll-a",7.18395220850561
"GLM-AED",2022-01-01,2022-01-16,"chlorophyll-a",7.29295978539388
"GLM-AED",2022-01-01,2022-01-17,"chlorophyll-a",6.84682940114211
"GLM-AED",2022-01-01,2022-01-18,"chlorophyll-a",6.8307589283718
"GLM-AED",2022-01-01,2022-01-19,"chlorophyll-a",7.11078666989992
"GLM-AED",2022-01-01,2022-01-20,"chlorophyll-a",6.86764680225622
"GLM-AED",2022-01-01,2022-01-21,"chlorophyll-a",6.77782706219461
"GLM-AED",2022-01-01,2022-01-22,"chlorophyll-a",7.19095276182697
"GLM-AED",2022-01-01,2022-01-23,"chlorophyll-a",7.30920947652207
"GLM-AED",2022-01-01,2022-01-24,"chlorophyll-a",7.26293213772207
"GLM-AED",2022-01-01,2022-01-25,"chlorophyll-a",7.55148273346655
"GLM-AED",2022-01-01,2022-01-26,"chlorophyll-a",7.55089002222934
"GLM-AED",2022-01-01,2022-01-27,"chlorophyll-a",7.99672119583156
"GLM-AED",2022-01-01,2022-01-28,"chlorophyll-a",8.34871164350912
"GLM-AED",2022-01-01,2022-01-29,"chlorophyll-a",8.18746386083269
"GLM-AED",2022-01-01,2022-01-30,"chlorophyll-a",8.73126975531619
"GLM-AED",2022-01-01,2022-01-31,"chlorophyll-a",9.19191021629731
"GLM-AED",2022-01-01,2022-02-01,"chlorophyll-a",9.44190032401034
"GLM-AED",2022-01-01,2022-02-02,"chlorophyll-a",9.82012506305631
"GLM-AED",2022-01-01,2022-02-03,"chlorophyll-a",10.0014932257443
"GLM-AED",2022-01-01,2022-02-04,"chlorophyll-a",9.71249762258607
"GLM-AED",2022-01-01,2022-02-05,"chlorophyll-a",9.87711536035911
"GLM-AED",2022-01-02,2022-01-02,"chlorophyll-a",11.1702083263889
"GLM-AED",2022-01-02,2022-01-03,"chlorophyll-a",10.816037313912
"GLM-AED",2022-01-02,2022-01-04,"chlorophyll-a",10.7051411057747
"GLM-AED",2022-01-02,2022-01-05,"chlorophyll-a",10.689837670498
"GLM-AED",2022-01-02,2022-01-06,"chlorophyll-a",10.5800246952131
"GLM-AED",2022-01-02,2022-01-07,"chlorophyll-a",10.485478115197
"GLM-AED",2022-01-02,2022-01-08,"chlorophyll-a",10.4912884521666
"GLM-AED",2022-01-02,2022-01-09,"chlorophyll-a",10.4786674994213
"GLM-AED",2022-01-02,2022-01-10,"chlorophyll-a",10.2417944250924
"GLM-AED",2022-01-02,2022-01-11,"chlorophyll-a",10.2668506889327
"GLM-AED",2022-01-02,2022-01-12,"chlorophyll-a",10.5737470757304
"GLM-AED",2022-01-02,2022-01-13,"chlorophyll-a",10.3354131329294
"GLM-AED",2022-01-02,2022-01-14,"chlorophyll-a",10.3041760298753
"GLM-AED",2022-01-02,2022-01-15,"chlorophyll-a",10.372177391677
"GLM-AED",2022-01-02,2022-01-16,"chlorophyll-a",10.631556070341
"GLM-AED",2022-01-02,2022-01-17,"chlorophyll-a",10.5938678500081
"GLM-AED",2022-01-02,2022-01-18,"chlorophyll-a",9.94773014089826
"GLM-AED",2022-01-02,2022-01-19,"chlorophyll-a",10.2928895976625
"GLM-AED",2022-01-02,2022-01-20,"chlorophyll-a",9.99588626667602
