"model_id","reference_datetime","datetime","variable","prediction"
"LSTM",2022-01-01,2022-01-01,"chlorophyll-a",9.10111886013986
"LSTM",2022-01-01,2022-01-02,"chlorophyll-a",8.36589813232422
"LSTM",2022-01-01,2022-01-03,"chlorophyll-a",8.12794876098633
"LSTM",2022-01-01,2022-01-04,"chlorophyll-a",8.24898147583008
"LSTM",2022-01-01,2022-01-05,"chlorophyll-a",8.68579864501953
"LSTM",2022-01-01,2022-01-06,"chlorophyll-a",9.32907104492188
"LSTM",2022-01-01,2022-01-07,"chlorophyll-a",10.2388496398926
"LSTM",2022-01-01,2022-01-08,"chlorophyll-a",11.1091728210449
"LSTM",2022-01-01,2022-01-09,"chlorophyll-a",11.3727474212646
"LSTM",2022-01-01,2022-01-10,"chlorophyll-a",12.3005561828613
"LSTM",2022-01-01,2022-01-11,"chlorophyll-a",13.4218711853027
"LSTM",2022-01-01,2022-01-12,"chlorophyll-a",13.3491430282593
"LSTM",2022-01-01,2022-01-13,"chlorophyll-a",14.1462841033936
"LSTM",2022-01-01,2022-01-14,"chlorophyll-a",15.3928337097168
"LSTM",2022-01-01,2022-01-15,"chlorophyll-a",14.9814510345459
"LSTM",2022-01-01,2022-01-16,"chlorophyll-a",15.6621284484863
"LSTM",2022-01-01,2022-01-17,"chlorophyll-a",16.0814094543457
"LSTM",2022-01-01,2022-01-18,"chlorophyll-a",16.0428161621094
"LSTM",2022-01-01,2022-01-19,"chlorophyll-a",15.0288782119751
"LSTM",2022-01-01,2022-01-20,"chlorophyll-a",15.4830884933472
"LSTM",2022-01-01,2022-01-21,"chlorophyll-a",15.6554279327393
"LSTM",2022-01-02,2022-01-02,"chlorophyll-a",11.1702083263889
"LSTM",2022-01-02,2022-01-03,"chlorophyll-a",8.59971332550049
"LSTM",2022-01-02,2022-01-04,"chlorophyll-a",8.381911277771
"LSTM",2022-01-02,2022-01-05,"chlorophyll-a",8.14615154266357
"LSTM",2022-01-02,2022-01-06,"chlorophyll-a",8.24624252319336
"LSTM",2022-01-02,2022-01-07,"chlorophyll-a",8.66636848449707
"LSTM",2022-01-02,2022-01-08,"chlorophyll-a",9.31515312194824
"LSTM",2022-01-02,2022-01-09,"chlorophyll-a",10.2444219589233
"LSTM",2022-01-02,2022-01-10,"chlorophyll-a",11.1291666030884
"LSTM",2022-01-02,2022-01-11,"chlorophyll-a",11.4249219894409
"LSTM",2022-01-02,2022-01-12,"chlorophyll-a",12.3992156982422
"LSTM",2022-01-02,2022-01-13,"chlorophyll-a",13.5116291046143
"LSTM",2022-01-02,2022-01-14,"chlorophyll-a",13.4781589508057
"LSTM",2022-01-02,2022-01-15,"chlorophyll-a",14.2993507385254
"LSTM",2022-01-02,2022-01-16,"chlorophyll-a",15.3842926025391
"LSTM",2022-01-02,2022-01-17,"chlorophyll-a",15.0306873321533
"LSTM",2022-01-02,2022-01-18,"chlorophyll-a",15.6039724349976
"LSTM",2022-01-02,2022-01-19,"chlorophyll-a",15.9587411880493
"LSTM",2022-01-02,2022-01-20,"chlorophyll-a",15.9339656829834
"LSTM",2022-01-02,2022-01-21,"chlorophyll-a",15.0859241485596
"LSTM",2022-01-02,2022-01-22,"chlorophyll-a",15.4927310943604
"LSTM",2022-01-03,2022-01-03,"chlorophyll-a",10.5483216643357
"LSTM",2022-01-03,2022-01-04,"chlorophyll-a",9.16806316375732
"LSTM",2022-01-03,2022-01-05,"chlorophyll-a",8.58778190612793
