"model_id","datetime","variable","horizon","prediction","param_set","epochs","dropout","num_layers","hidden_feature_size","weight_decay"
"LSTM",2018-10-07,"chlorophyll-a",0,5.5677227973938,1,100,0,1,8,0
"LSTM",2018-10-08,"chlorophyll-a",0,5.40909290313721,1,100,0,1,8,0
"LSTM",2018-10-09,"chlorophyll-a",0,5.55106735229492,1,100,0,1,8,0
"LSTM",2018-10-10,"chlorophyll-a",0,5.24020528793335,1,100,0,1,8,0
"LSTM",2018-10-11,"chlorophyll-a",0,4.84384155273438,1,100,0,1,8,0
"LSTM",2018-10-12,"chlorophyll-a",0,4.74641180038452,1,100,0,1,8,0
"LSTM",2018-10-13,"chlorophyll-a",0,5.42108821868896,1,100,0,1,8,0
"LSTM",2018-10-14,"chlorophyll-a",0,5.08147859573364,1,100,0,1,8,0
"LSTM",2018-10-15,"chlorophyll-a",0,4.67123985290527,1,100,0,1,8,0
"LSTM",2018-10-16,"chlorophyll-a",0,4.81898832321167,1,100,0,1,8,0
"LSTM",2018-10-17,"chlorophyll-a",0,5.01370620727539,1,100,0,1,8,0
"LSTM",2018-10-18,"chlorophyll-a",0,5.22586917877197,1,100,0,1,8,0
"LSTM",2018-10-19,"chlorophyll-a",0,5.44037485122681,1,100,0,1,8,0
"LSTM",2018-10-20,"chlorophyll-a",0,5.43285655975342,1,100,0,1,8,0
"LSTM",2018-10-21,"chlorophyll-a",0,5.32375621795654,1,100,0,1,8,0
"LSTM",2018-10-22,"chlorophyll-a",0,5.77318382263184,1,100,0,1,8,0
"LSTM",2018-10-23,"chlorophyll-a",0,5.77264976501465,1,100,0,1,8,0
"LSTM",2018-10-24,"chlorophyll-a",0,6.13962268829346,1,100,0,1,8,0
"LSTM",2018-10-25,"chlorophyll-a",0,6.40918064117432,1,100,0,1,8,0
"LSTM",2018-10-26,"chlorophyll-a",0,6.36556339263916,1,100,0,1,8,0
"LSTM",2018-10-27,"chlorophyll-a",0,6.01821899414062,1,100,0,1,8,0
"LSTM",2018-10-28,"chlorophyll-a",0,6.16352319717407,1,100,0,1,8,0
"LSTM",2018-10-29,"chlorophyll-a",0,6.37494564056396,1,100,0,1,8,0
"LSTM",2018-10-30,"chlorophyll-a",0,6.87979698181152,1,100,0,1,8,0
"LSTM",2018-10-31,"chlorophyll-a",0,7.10963821411133,1,100,0,1,8,0
"LSTM",2018-11-01,"chlorophyll-a",0,7.1964635848999,1,100,0,1,8,0
"LSTM",2018-11-02,"chlorophyll-a",0,7.17400360107422,1,100,0,1,8,0
