"model_id","datetime","variable","horizon","prediction","param_set","epochs","dropout","num_layers","hidden_feature_size","weight_decay"
"LSTM",2018-10-07,"chlorophyll-a",0,4.37401151657104,322,200,0.002,3,8,0.002
"LSTM",2018-10-08,"chlorophyll-a",0,4.52083158493042,322,200,0.002,3,8,0.002
"LSTM",2018-10-09,"chlorophyll-a",0,4.51508235931396,322,200,0.002,3,8,0.002
"LSTM",2018-10-10,"chlorophyll-a",0,4.40401458740234,322,200,0.002,3,8,0.002
"LSTM",2018-10-11,"chlorophyll-a",0,4.30070543289185,322,200,0.002,3,8,0.002
"LSTM",2018-10-12,"chlorophyll-a",0,4.07251119613647,322,200,0.002,3,8,0.002
"LSTM",2018-10-13,"chlorophyll-a",0,3.77191781997681,322,200,0.002,3,8,0.002
"LSTM",2018-10-14,"chlorophyll-a",0,3.52388191223145,322,200,0.002,3,8,0.002
"LSTM",2018-10-15,"chlorophyll-a",0,3.36447477340698,322,200,0.002,3,8,0.002
"LSTM",2018-10-16,"chlorophyll-a",0,3.24200344085693,322,200,0.002,3,8,0.002
"LSTM",2018-10-17,"chlorophyll-a",0,3.15217924118042,322,200,0.002,3,8,0.002
"LSTM",2018-10-18,"chlorophyll-a",0,3.07482671737671,322,200,0.002,3,8,0.002
"LSTM",2018-10-19,"chlorophyll-a",0,3.02179956436157,322,200,0.002,3,8,0.002
"LSTM",2018-10-20,"chlorophyll-a",0,3.01303911209106,322,200,0.002,3,8,0.002
"LSTM",2018-10-21,"chlorophyll-a",0,3.03408193588257,322,200,0.002,3,8,0.002
"LSTM",2018-10-22,"chlorophyll-a",0,3.06730508804321,322,200,0.002,3,8,0.002
"LSTM",2018-10-23,"chlorophyll-a",0,3.14821863174438,322,200,0.002,3,8,0.002
"LSTM",2018-10-24,"chlorophyll-a",0,3.28014993667603,322,200,0.002,3,8,0.002
"LSTM",2018-10-25,"chlorophyll-a",0,3.41991376876831,322,200,0.002,3,8,0.002
"LSTM",2018-10-26,"chlorophyll-a",0,3.549644947052,322,200,0.002,3,8,0.002
"LSTM",2018-10-27,"chlorophyll-a",0,3.65412330627441,322,200,0.002,3,8,0.002
"LSTM",2018-10-28,"chlorophyll-a",0,3.76795864105225,322,200,0.002,3,8,0.002
"LSTM",2018-10-29,"chlorophyll-a",0,3.86736154556274,322,200,0.002,3,8,0.002
"LSTM",2018-10-30,"chlorophyll-a",0,3.97733879089355,322,200,0.002,3,8,0.002
