"model_id","reference_datetime","datetime","variable","prediction"
"OneDProcessModel",2021-12-31,2021-12-31,"chlorophyll-a",8.44248224822695
"OneDProcessModel",2021-12-31,2022-01-01,"chlorophyll-a",7.28468739332732
"OneDProcessModel",2021-12-31,2022-01-02,"chlorophyll-a",7.76245995640543
"OneDProcessModel",2021-12-31,2022-01-03,"chlorophyll-a",8.27193897957431
"OneDProcessModel",2021-12-31,2022-01-04,"chlorophyll-a",9.1179794810348
"OneDProcessModel",2021-12-31,2022-01-05,"chlorophyll-a",9.92248079185191
"OneDProcessModel",2021-12-31,2022-01-06,"chlorophyll-a",10.0279727410744
"OneDProcessModel",2021-12-31,2022-01-07,"chlorophyll-a",9.59095768476793
"OneDProcessModel",2021-12-31,2022-01-08,"chlorophyll-a",10.3060766607446
"OneDProcessModel",2021-12-31,2022-01-09,"chlorophyll-a",10.9320193353238
"OneDProcessModel",2021-12-31,2022-01-10,"chlorophyll-a",10.3313673864008
"OneDProcessModel",2021-12-31,2022-01-11,"chlorophyll-a",10.9306229052802
"OneDProcessModel",2021-12-31,2022-01-12,"chlorophyll-a",11.4726105778637
"OneDProcessModel",2021-12-31,2022-01-13,"chlorophyll-a",10.81781893369
"OneDProcessModel",2021-12-31,2022-01-14,"chlorophyll-a",11.5539036748635
"OneDProcessModel",2021-12-31,2022-01-15,"chlorophyll-a",12.0567388186012
"OneDProcessModel",2021-12-31,2022-01-16,"chlorophyll-a",11.1106726982972
"OneDProcessModel",2021-12-31,2022-01-17,"chlorophyll-a",11.0076378160776
"OneDProcessModel",2021-12-31,2022-01-18,"chlorophyll-a",11.788486803197
"OneDProcessModel",2021-12-31,2022-01-19,"chlorophyll-a",12.1427010887284
"OneDProcessModel",2021-12-31,2022-01-20,"chlorophyll-a",12.271590092132
"OneDProcessModel",2021-12-31,2022-01-21,"chlorophyll-a",12.0259977531982
"OneDProcessModel",2021-12-31,2022-01-22,"chlorophyll-a",12.7829212329974
"OneDProcessModel",2021-12-31,2022-01-23,"chlorophyll-a",13.0692685998684
"OneDProcessModel",2021-12-31,2022-01-24,"chlorophyll-a",12.8540188042719
"OneDProcessModel",2021-12-31,2022-01-25,"chlorophyll-a",12.5663151929223
"OneDProcessModel",2021-12-31,2022-01-26,"chlorophyll-a",11.8528591514325
"OneDProcessModel",2021-12-31,2022-01-27,"chlorophyll-a",11.7827693940825
"OneDProcessModel",2021-12-31,2022-01-28,"chlorophyll-a",12.2978717859897
"OneDProcessModel",2021-12-31,2022-01-29,"chlorophyll-a",12.5893566021887
"OneDProcessModel",2021-12-31,2022-01-30,"chlorophyll-a",12.6018205636927
"OneDProcessModel",2021-12-31,2022-01-31,"chlorophyll-a",12.6012404277958
"OneDProcessModel",2021-12-31,2022-02-01,"chlorophyll-a",12.6875762648764
"OneDProcessModel",2021-12-31,2022-02-02,"chlorophyll-a",12.7328829500105
"OneDProcessModel",2021-12-31,2022-02-03,"chlorophyll-a",12.7693442968536
"OneDProcessModel",2021-12-31,2022-02-04,"chlorophyll-a",12.0120882014619
"OneDProcessModel",2022-01-01,2022-01-01,"chlorophyll-a",9.10111886013986
"OneDProcessModel",2022-01-01,2022-01-02,"chlorophyll-a",7.94498362446077
"OneDProcessModel",2022-01-01,2022-01-03,"chlorophyll-a",8.25966521983468
"OneDProcessModel",2022-01-01,2022-01-04,"chlorophyll-a",9.42351438087877
"OneDProcessModel",2022-01-01,2022-01-05,"chlorophyll-a",10.6155129675851
"OneDProcessModel",2022-01-01,2022-01-06,"chlorophyll-a",11.0515723561676
"OneDProcessModel",2022-01-01,2022-01-07,"chlorophyll-a",10.6758578580249
